"Sequence","Cluster"
"CA441693.1 UI-H-ED0-axl-a-15-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-a-15-0-UI 3', mRNA sequence",287
"CA441692.1 UI-H-ED0-axl-a-13-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-a-13-0-UI 3', mRNA sequence",288
"CA441691.1 UI-H-ED0-axl-a-11-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-a-11-0-UI 3', mRNA sequence",289
"CA441690.1 UI-H-ED0-axl-a-09-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-a-09-0-UI 3', mRNA sequence",290
"CA441689.1 UI-H-ED0-axl-a-07-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-a-07-0-UI 3', mRNA sequence",168
"CA441688.1 UI-H-ED0-axl-a-05-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-a-05-0-UI 3', mRNA sequence",291
"CA441687.1 UI-H-ED0-axl-a-03-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-a-03-0-UI 3', mRNA sequence",292
"NM_006343.3 Homo sapiens MER proto-oncogene, tyrosine kinase (MERTK), mRNA",293
"NM_004481.5 Homo sapiens polypeptide N-acetylgalactosaminyltransferase 2 (GALNT2), transcript variant 1, mRNA",294
"NM_001204813.2 Homo sapiens 5'-nucleotidase ecto (NT5E), transcript variant 2, mRNA",295
"NM_002526.4 Homo sapiens 5'-nucleotidase ecto (NT5E), transcript variant 1, mRNA",295
"NM_003033.4 Homo sapiens ST3 beta-galactoside alpha-2,3-sialyltransferase 1 (ST3GAL1), transcript variant 1, mRNA",296
"NM_173344.3 Homo sapiens ST3 beta-galactoside alpha-2,3-sialyltransferase 1 (ST3GAL1), transcript variant 2, mRNA",296
"NM_000406.3 Homo sapiens gonadotropin releasing hormone receptor (GNRHR), transcript variant 1, mRNA",297
"NM_001012763.2 Homo sapiens gonadotropin releasing hormone receptor (GNRHR), transcript variant 2, mRNA",297
"NM_130395.3 Homo sapiens WRN helicase interacting protein 1 (WRNIP1), transcript variant 2, mRNA",298
"NM_020135.3 Homo sapiens WRN helicase interacting protein 1 (WRNIP1), transcript variant 1, mRNA",298
"NM_000100.4 Homo sapiens cystatin B (CSTB), mRNA",299
"NM_001385113.1 Homo sapiens signal transducer and activator of transcription 2 (STAT2), transcript variant 5, mRNA",300
"NM_001385114.1 Homo sapiens signal transducer and activator of transcription 2 (STAT2), transcript variant 6, mRNA",300
"NM_001385110.1 Homo sapiens signal transducer and activator of transcription 2 (STAT2), transcript variant 3, mRNA",300
"NM_001385111.1 Homo sapiens signal transducer and activator of transcription 2 (STAT2), transcript variant 4, mRNA",300
"NM_001385115.1 Homo sapiens signal transducer and activator of transcription 2 (STAT2), transcript variant 7, mRNA",300
"NR_138072.2 Homo sapiens arrestin domain containing 3 (ARRDC3), transcript variant 6, non-coding RNA",301
"NR_138071.2 Homo sapiens arrestin domain containing 3 (ARRDC3), transcript variant 5, non-coding RNA",302
"NM_001329670.2 Homo sapiens arrestin domain containing 3 (ARRDC3), transcript variant 2, mRNA",302
"NM_198332.2 Homo sapiens signal transducer and activator of transcription 2 (STAT2), transcript variant 2, mRNA",300
"NM_001329672.2 Homo sapiens arrestin domain containing 3 (ARRDC3), transcript variant 4, mRNA",301
"NM_001329671.2 Homo sapiens arrestin domain containing 3 (ARRDC3), transcript variant 3, mRNA",302
"NM_005419.4 Homo sapiens signal transducer and activator of transcription 2 (STAT2), transcript variant 1, mRNA",300
"NM_020801.4 Homo sapiens arrestin domain containing 3 (ARRDC3), transcript variant 1, mRNA",301
"NR_120373.2 Homo sapiens polypeptide N-acetylgalactosaminyltransferase 2 (GALNT2), transcript variant 3, non-coding RNA",303
"NM_001291866.2 Homo sapiens polypeptide N-acetylgalactosaminyltransferase 2 (GALNT2), transcript variant 2, mRNA",304
"NM_014051.4 Homo sapiens transmembrane protein 14A (TMEM14A), mRNA",305
"NM_013398.5 Homo sapiens zinc finger protein 224 (ZNF224), mRNA",306
"NM_001321645.3 Homo sapiens zinc finger protein 224 (ZNF224), mRNA",307
"AF518728.1 Homo sapiens C1 domain-containing phosphatase and tensin-like protein splice variant 2 (C1-TEN) mRNA, complete cds; alternatively spliced",308
"AF518729.1 Homo sapiens C1 domain-containing phosphatase and tensin-like protein splice variant 1 (C1-TEN) mRNA, complete cds; alternatively spliced",309
"AB028998.2 Homo sapiens KIAA1075 mRNA for KIAA1075 protein",310
"U05682.1 Human receptor-type tyrosine kinase (rse) mRNA, complete cds",311
